feature	score	direction	p_value	q_value	n_permutations	at_permutation_floor
N_LP.132	0.8630548424914827	baseline	0.0028899711002889	0.3428539047942854	100000	False
N_LP.812	0.8800600149008106	baseline	0.0028999710002899	0.3428539047942854	100000	False
COG3854	0.88447727767019	endpoint	0.0029099709002909	0.2501474148438432	100000	False
ENOG410YAU0	0.8770204636150825	endpoint	0.0029099709002909	0.2501474148438432	100000	False
ENOG410YSH0	0.8809477643146549	endpoint	0.0029299707002929	0.2501474148438432	100000	False
N_AQ.237	0.8752796407538009	baseline	0.0029799702002979	0.3476762600795045	100000	False
ENOG410YEV5	0.8870600636098169	endpoint	0.0030099699003009	0.2501474148438432	100000	False
K15832	0.8818524660203556	baseline	0.0030099699003009	0.2501474148438432	100000	False
N_LP.570	0.8663964718055878	baseline	0.0030299697003029	0.3489187186050217	100000	False
ENOG410Y93R	0.8625795258587133	endpoint	0.0030399696003039	0.2501474148438432	100000	False
COG2703	0.853138957453255	endpoint	0.0030399696003039	0.2501474148438432	100000	False
ENOG410YDVK	0.8689169257685673	endpoint	0.0030499695003049	0.2501474148438432	100000	False
ENOG410ZJQZ	0.8822039408726099	baseline	0.0030499695003049	0.2501474148438432	100000	False
PF07282	0.86646939412088	endpoint	0.0030499695003049	0.2501474148438432	100000	False
ENOG410XP8I	0.8503478795823	baseline	0.0030799692003079	0.2501474148438432	100000	False
P_AQ.1670	0.8615760673915027	baseline	0.0030899691003089	0.3512661027235881	100000	False
ENOG410YQFE	0.8666686505240486	endpoint	0.0030899691003089	0.2501474148438432	100000	False
ENOG410XY17	0.8714795487121758	endpoint	0.0030899691003089	0.2501474148438432	100000	False
PF09564	0.8401485967529673	endpoint	0.0031499685003149	0.2501474148438432	100000	False
ENOG4112BJ0	0.8737188768877547	endpoint	0.0031599684003159	0.2501474148438432	100000	False
ENOG410YM4C	0.8555803472466683	endpoint	0.0031599684003159	0.2501474148438432	100000	False
N_AQ.510	0.8646674470269391	baseline	0.0031599684003159	0.3513513614863852	100000	False
P_AQ.976	0.8749484275399804	baseline	0.0031699683003169	0.3513513614863852	100000	False
ENOG4111IX6	0.8710096556508395	endpoint	0.0032299677003229	0.2501474148438432	100000	False
N_AQ.360	0.8657332396372499	baseline	0.0032399676003239	0.3546764532354676	100000	False
K05790	0.8982974378430928	baseline	0.0032399676003239	0.2501474148438432	100000	False
ENOG410Z6F6	0.8843107691716522	endpoint	0.0032499675003249	0.2501474148438432	100000	False
PF02566	0.8681859423330871	baseline	0.0032499675003249	0.2501474148438432	100000	False
ENOG4110GT4	0.8490411262281158	endpoint	0.0032599674003259	0.2501474148438432	100000	False
COG3972	0.861901568911134	endpoint	0.0032599674003259	0.2501474148438432	100000	False
ENOG411226D	0.8787372927746964	endpoint	0.0032699673003269	0.2501474148438432	100000	False
P_LP.2827	0.8446192163763495	endpoint	0.0032799672003279	0.3546764532354676	100000	False
ENOG410YJNW	0.8543289505876929	endpoint	0.0032899671003289	0.2501474148438432	100000	False
PF13487	0.8724175723748223	endpoint	0.0032899671003289	0.2501474148438432	100000	False
ENOG4111J4C	0.8723437441900346	endpoint	0.0032999670003299	0.2501474148438432	100000	False
ENOG410XS6G	0.8855692219355167	baseline	0.0032999670003299	0.2501474148438432	100000	False
k_Bacteria.p_Proteobacteria.c_Betaproteobacteria.o_Burkholderiales.f_Unclassified.Burkholderiales.g_Unclassified.Burkholderiales.s_Unclassified.Burkholderiales	0.8545075347863499	endpoint	0.0033399666003339	0.2501474148438432	100000	False
ENOG4111UDF	0.8589865393379578	endpoint	0.0033399666003339	0.2501474148438432	100000	False
K05358	0.8937767236576686	baseline	0.0033499665003349	0.2501474148438432	100000	False
P_LP.2546	0.8641626038026496	endpoint	0.0033499665003349	0.3578813609454266	100000	False
k_Bacteria.p_Proteobacteria.c_Gammaproteobacteria.o_Enterobacterales.f_Enterobacteriaceae.g_Klebsiella.s_Klebsiella.grimontii	0.8476821799434677	baseline	0.0033599664003359	0.2501474148438432	100000	False
PF00112	0.8861594005288526	endpoint	0.0033699663003369	0.2501474148438432	100000	False
K07690	0.8659139106475857	baseline	0.0033899661003389	0.2501474148438432	100000	False
ENOG410XWE4	0.8512604525499351	endpoint	0.0033999660003399	0.2501474148438432	100000	False
ENOG4111NVG	0.871002602297537	endpoint	0.0034299657003429	0.2501474148438432	100000	False
ENOG41100NK	0.8781548498308408	endpoint	0.0034499655003449	0.2501474148438432	100000	False
N_AQ.256	0.8635378154237829	baseline	0.0034499655003449	0.3630217815468904	100000	False
K05275	0.8873975943697524	baseline	0.0034599654003459	0.2501474148438432	100000	False
ENOG410ZZE8	0.8890888416665329	endpoint	0.0034699653003469	0.2501474148438432	100000	False
ENOG410YCQ8	0.863929546813009	baseline	0.0034799652003479	0.2501474148438432	100000	False
P_LP.2611	0.8550259693139094	endpoint	0.0034799652003479	0.3630217815468904	100000	False
PF05195	0.8897954524240407	baseline	0.0034799652003479	0.2501474148438432	100000	False
ENOG410XWV3	0.8523882252530608	endpoint	0.0034899651003489	0.2501474148438432	100000	False
ENOG410ZJR9	0.8683045227864191	endpoint	0.0035099649003509	0.2501474148438432	100000	False
PF14277	0.8846633753443994	endpoint	0.0035099649003509	0.2501474148438432	100000	False
ENOG41125JT	0.8731122261116894	endpoint	0.0035299647003529	0.2501917719412017	100000	False
ENOG4111MX3	0.860532356062574	endpoint	0.0035399646003539	0.2501917719412017	100000	False
ENOG4111VH8	0.862448889916467	endpoint	0.0036199638003619	0.252139525848836	100000	False
P_LP.1160	0.871342642070108	baseline	0.0036499635003649	0.3740409722339558	100000	False
K15268	0.8857948730824899	baseline	0.0036499635003649	0.252139525848836	100000	False
P_LP.2034	0.8290615598104629	endpoint	0.0036699633003669	0.3740409722339558	100000	False
K00449	0.8742726789897748	baseline	0.0036699633003669	0.252139525848836	100000	False
ENOG410Z02K	0.8822223951701584	endpoint	0.0036799632003679	0.252139525848836	100000	False
K03415	0.854103050264451	endpoint	0.0037099629003709	0.252139525848836	100000	False
ENOG4111HK7	0.856358976908861	endpoint	0.0037099629003709	0.252139525848836	100000	False
ENOG4111HB2	0.8542090963949611	endpoint	0.0037199628003719	0.252139525848836	100000	False
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Gemmiger..no.family.in.NCBI..g_Gemmiger.s_Gemmiger.formicilis	0.8648435140391549	endpoint	0.0037299627003729	0.252139525848836	100000	False
ENOG4112231	0.8658230621100742	endpoint	0.0037399626003739	0.252139525848836	100000	False
ENOG410ZPHH	0.8676512799570741	endpoint	0.0037599624003759	0.252139525848836	100000	False
ENOG4111JHW	0.8583693084554812	endpoint	0.0037599624003759	0.252139525848836	100000	False
ENOG410YBXC	0.8667505126695613	endpoint	0.0037599624003759	0.252139525848836	100000	False
K02002	0.8840735203522326	baseline	0.0037599624003759	0.252139525848836	100000	False
ENOG411296X	0.8738546665966662	endpoint	0.0037999620003799	0.2528310654393456	100000	False
ENOG4111UB9	0.8699511656808204	endpoint	0.0037999620003799	0.2528310654393456	100000	False
ENOG410Z78K	0.873605575547116	endpoint	0.0038399616003839	0.2544983110480179	100000	False
COG2807	0.8702156444405655	baseline	0.0038799612003879	0.2551636259699179	100000	False
ENOG4111VB3	0.8922261451799931	endpoint	0.0038799612003879	0.2551636259699179	100000	False
P_LP.2165	0.8609810862689611	baseline	0.0039199608003919	0.3856075392734445	100000	False
K03599	0.8682468237678331	baseline	0.0039299607003929	0.2571239421705399	100000	False
K22103	0.8646477156364064	endpoint	0.0039399606003939	0.2571239421705399	100000	False
P_LP.1371	0.8432904350306274	endpoint	0.0039399606003939	0.3856075392734445	100000	False
ENOG41122RP	0.8728609911560169	endpoint	0.0039799602003979	0.2577591714577151	100000	False
K13795	0.8501752054681848	baseline	0.0039799602003979	0.2577591714577151	100000	False
P_LP.3039	0.8671715316441363	baseline	0.0040099599004009	0.3856075392734445	100000	False
K01920	0.8739360216636944	baseline	0.0040299597004029	0.260008725670319	100000	False
P_LP.486	0.8476253180609953	endpoint	0.0040499595004049	0.3856075392734445	100000	False
ENOG410Y5B4	0.829279799079443	endpoint	0.0040599594004059	0.2609558055362843	100000	False
ENOG41126GD	0.8611796057482788	endpoint	0.0041199588004119	0.2634666162701669	100000	False
P_LP.2507	0.8561783709908036	endpoint	0.0041199588004119	0.3856075392734445	100000	False
ENOG4111Y5F	0.8594302424776127	endpoint	0.0041299587004129	0.2634666162701669	100000	False
P_LP.804	0.8533576183133733	baseline	0.0041399586004139	0.3856075392734445	100000	False
k_Bacteria.p_Firmicutes.c_Clostridia.o_Eubacteriales.f_Clostridiaceae.g_Clostridium.s_Clostridium.saudiense	0.8437989951156176	endpoint	0.0041799582004179	0.2654386229860329	100000	False
ENOG410XP3R	0.8826438486318414	baseline	0.0042299577004229	0.2654386229860329	100000	False
ENOG4111FRY	0.864583304967607	endpoint	0.0042299577004229	0.2654386229860329	100000	False
K07664	0.8829402424215075	baseline	0.0042399576004239	0.2654386229860329	100000	False
ENOG410ZXAN	0.8682290191962563	endpoint	0.0042499575004249	0.2654386229860329	100000	False
COG0713	0.8853202034097618	baseline	0.0042699573004269	0.2654386229860329	100000	False
PF18202	0.8630889439624675	endpoint	0.0042699573004269	0.2654386229860329	100000	False
ENOG4111Q8K	0.861574710222041	endpoint	0.0043299567004329	0.2668681616432933	100000	False
ENOG4111J8D	0.8452256626703398	endpoint	0.0043299567004329	0.2668681616432933	100000	False
COG4943	0.8693602159986789	baseline	0.0043399566004339	0.2668681616432933	100000	False
N_LP.1366	0.8511924278316851	baseline	0.0043499565004349	0.3856075392734445	100000	False
ENOG410YEB8	0.8457266876090134	endpoint	0.0043599564004359	0.2670504366384907	100000	False
P_LP.33	0.8605739646600894	endpoint	0.0043799562004379	0.3856075392734445	100000	False
K05365	0.8753865899158126	baseline	0.0043899561004389	0.2670504366384907	100000	False
COG0049	0.8681178136543901	endpoint	0.0043899561004389	0.2670504366384907	100000	False
ENOG410XT2G	0.8662800023220811	endpoint	0.0044299557004429	0.2673288182372413	100000	False
P_LP.2476	0.8381603808263568	endpoint	0.0044399556004439	0.3856075392734445	100000	False
